,importance
x_10,0.5704406576603737
x_8,0.1358985231394116
BZip2,0.12238261650400843
Deflate,0.10783209486118028
x_6,0.022482745648333042
PPMd,0.018224388070722408
LZMA2,0.009874725586084442
LZMA,0.009619554835145159
mtOff,0.0008965110025561006
HeaderCompressionOff,0.00024775826101773124
BlockSize_1,0.00021746389099861936
Files_0,0.00019932900783181914
tmOff,0.00018035351660307497
BlockSize_4,0.00018014912717364122
filterOff,0.0001642857816304667
BlockSize_2,0.00015069984147460247
x_4,0.0001346098935398833
BlockSize_8,0.00012559422009984154
BlockSize_16,5.424212560950098e-05
BlockSize_2048,5.0890350878006624e-05
BlockSize_4096,4.961956856595257e-05
Files_100,4.888405143454548e-05
BlockSize_512,4.4024720316810536e-05
BlockSize_32,4.16354337468868e-05
Files_40,4.109316548580882e-05
Files_70,3.935993050278601e-05
Files_80,3.913031534206965e-05
BlockSize_64,3.81850767523494e-05
Files_30,3.4268297886690187e-05
Files_50,3.3901820541253446e-05
Files_20,3.3421938680831784e-05
Files_60,3.228243807429537e-05
BlockSize_256,3.140504390159232e-05
BlockSize_1024,2.9655070774090764e-05
BlockSize_128,2.799652004683854e-05
Files_10,2.7934353559880158e-05
Files_90,2.5891949290483884e-05
x_0,1.2538869029514802e-05
x_2,1.1578111394997174e-05
x,0.0
BlockSize,0.0
Files,0.0
CompressionMethod,0.0
root,0.0
