,importance
x_10,0.32852103069922367
BZip2,0.3127856185474242
x_8,0.12195519037795724
Deflate,0.07840343266974617
x_6,0.06787686291251298
PPMd,0.06121166573595538
LZMA,0.018245988461126135
LZMA2,0.008283218379191827
HeaderCompressionOff,0.0003599254919409106
BlockSize_16,0.0002840170918260258
filterOff,0.0002728210626423447
mtOff,0.00026797924556422564
tmOff,0.00026100030734377657
BlockSize_4,0.00021840579232011042
x_0,0.00016185115703022218
x_4,0.00014773683034583073
x_2,0.00010032139070980769
Files_50,9.195331878092484e-05
Files_20,8.473873096833939e-05
Files_10,6.796083624821291e-05
BlockSize_1,6.314596646559095e-05
Files_70,5.745107688619903e-05
BlockSize_8,5.4633148676433215e-05
BlockSize_32,4.8283155243905294e-05
BlockSize_2,4.805622153100939e-05
Files_0,2.922134818248283e-05
Files_60,2.3164861912924422e-05
Files_100,1.5091393697214391e-05
Files_30,1.4892697252575515e-05
BlockSize_128,1.363892688354755e-05
Files_90,1.1780046707040342e-05
Files_40,8.544190890339126e-06
BlockSize_64,5.6189101594621825e-06
Files_80,4.46788573370626e-06
BlockSize_256,7.757768570803994e-08
BlockSize_4096,7.157921170370754e-08
BlockSize_512,7.078379324381126e-08
BlockSize_1024,4.509475202723536e-08
BlockSize_2048,2.6095476579808597e-08
BlockSize,0.0
x,0.0
Files,0.0
CompressionMethod,0.0
root,0.0
