,importance
x_10,0.5786754899922493
LZMA,0.11923902935787414
Deflate,0.0894751691227043
PPMd,0.07332400078598336
BZip2,0.0668318641026935
x_8,0.029841519888398938
x_6,0.022734306279328452
LZMA2,0.017815572381747215
mtOff,0.0003390111827176942
BlockSize_1,0.00017432204802969798
tmOff,0.00015079864169180733
BlockSize_4,0.00013857502162447957
HeaderCompressionOff,0.00013126617803042975
filterOff,0.0001264662077870926
x_4,0.00010228308209644028
BlockSize_8,7.803122308863377e-05
Files_0,7.190368427712471e-05
Files_100,7.122308194223665e-05
BlockSize_2,6.628835421532913e-05
Files_60,6.58506616764292e-05
BlockSize_128,5.9922709882880086e-05
Files_70,5.9293110072087285e-05
BlockSize_256,5.2958766840864764e-05
BlockSize_2048,3.5810923174444487e-05
Files_10,3.5026924126996816e-05
BlockSize_64,3.4998374604481264e-05
BlockSize_4096,3.462458538551171e-05
Files_30,2.882157253890071e-05
BlockSize_1024,2.8487864948358454e-05
BlockSize_32,2.718356238556901e-05
BlockSize_16,2.511925672580968e-05
Files_50,2.447383700489424e-05
Files_90,1.896881099759648e-05
Files_80,1.744222241077668e-05
Files_20,1.7060988239291773e-05
Files_40,1.5776461411908457e-05
BlockSize_512,1.5022293799541207e-05
x_0,1.3098477882784616e-05
x_2,2.937979410838351e-06
x,0.0
BlockSize,0.0
Files,0.0
CompressionMethod,0.0
root,0.0
