,importance
x_10,0.5658590656543117
x_8,0.13795589451657106
BZip2,0.11991498024011017
Deflate,0.11146687563410443
x_6,0.02324681337905139
PPMd,0.01873870504656067
LZMA2,0.009972707636469317
LZMA,0.009594338754455426
#yes,0.0006282562964113328
mtOff,0.0005823975882190016
BlockSize_1,0.00020980696721367858
Files_0,0.0001883642925686818
BlockSize_4,0.0001748022604471877
BlockSize_2,0.00014694235386276028
x_4,0.00013925389537908494
HeaderCompressionOff,0.00012141667917687508
BlockSize_8,0.00011956550726502648
tmOff,0.00010866767287085969
filterOff,5.9965833688040667e-05
BlockSize_16,5.260696289819747e-05
BlockSize_2048,5.023104067112648e-05
BlockSize_4096,4.930635576851898e-05
Files_100,4.543196492386748e-05
BlockSize_512,4.453198717616249e-05
BlockSize_32,4.226547565925024e-05
Files_60,4.204928695311903e-05
BlockSize_256,4.120402570204905e-05
Files_80,4.1139446382737055e-05
Files_70,4.0915958155696e-05
Files_40,3.769336577951008e-05
BlockSize_1024,3.635843328511262e-05
BlockSize_64,3.6014324567407494e-05
Files_20,3.461867207016874e-05
Files_50,3.330512861803281e-05
Files_10,3.1454968264618116e-05
Files_30,3.012725711499433e-05
Files_90,2.967835369210718e-05
BlockSize_128,2.7886331899810034e-05
x_0,1.5622738468787924e-05
x_2,8.737713212068457e-06
