,importance
x_10,0.44468178380578777
BZip2,0.1775146016911689
Deflate,0.1730562545772689
x_8,0.10184580412765956
PPMd,0.05840879802179207
x_6,0.031207673228670164
LZMA2,0.0045441425579481705
LZMA,0.004065634629143218
mtOff,0.0016052954899685834
BlockSize_1,0.0006429832993344699
HeaderCompressionOff,0.00046499095878275233
tmOff,0.000450025509933952
filterOff,0.00043601443398224893
Files_0,0.00022574006068161397
BlockSize_256,0.00011301357560251248
Files_40,0.00010423843522933719
x_4,9.833618006885333e-05
Files_60,7.534247708310928e-05
BlockSize_16,5.896018932552198e-05
BlockSize_64,5.3412182859593844e-05
BlockSize_2,4.7428784503214026e-05
Files_50,4.0963230482656636e-05
x_0,3.08523801120676e-05
Files_20,3.0676269908431545e-05
BlockSize_32,2.6569851880969824e-05
BlockSize_128,2.6523788840153775e-05
x_2,1.9400362127503908e-05
Files_10,1.8306485899389325e-05
Files_70,1.7373072391376928e-05
BlockSize_512,1.4254837942243092e-05
Files_80,1.2147886771569296e-05
BlockSize_4,1.1043070693061689e-05
BlockSize_2048,9.726679254094145e-06
Files_30,8.869429010612496e-06
BlockSize_1024,7.787615159190866e-06
Files_90,7.581007321445583e-06
Files_100,7.28511918019269e-06
BlockSize_4096,7.016273063549211e-06
BlockSize_8,3.1484231669718917e-06
x,0.0
BlockSize,0.0
Files,0.0
CompressionMethod,0.0
root,0.0
