,importance
x_10,0.36355725061233485
x_8,0.16985702995611482
PPMd,0.05858201228872014
BlockSize_256,0.05574697741088338
BlockSize_2,0.0557279175618295
Files_60,0.041657440275420746
BlockSize_32,0.03167564882298714
HeaderCompressionOff,0.031319914794639775
Deflate,0.031133524187154517
filterOff,0.027563593376598423
Files_50,0.020488823368027924
BZip2,0.019497440894111134
Files_100,0.019236337382412597
mtOff,0.013334469317968337
BlockSize_16,0.011083199907880283
x_0,0.009241722055152187
tmOff,0.007611962083215426
LZMA,0.007142755284893022
BlockSize_2048,0.006152587768283222
x_6,0.006133613031774299
Files_90,0.0049845043166670735
Files_70,0.004055006947181515
x_2,0.0017105140182310029
LZMA2,0.0004637909486784824
BlockSize_8,0.00038461935881233683
Files_10,0.0003684949539785295
BlockSize_128,0.0003408400407008398
BlockSize_64,0.0002786506210729079
Files_30,0.00023623975950661652
BlockSize_4,0.00021621543724895925
x_4,7.79877189264467e-05
BlockSize_512,7.186151666819885e-05
Files_40,2.543342914726681e-05
BlockSize_1,2.17877333168285e-05
Files_0,1.91492882290823e-05
Files_80,4.605586275656165e-07
Files_20,2.229726046463353e-07
BlockSize_4096,0.0
x,0.0
Files,0.0
BlockSize_1024,0.0
CompressionMethod,0.0
BlockSize,0.0
root,0.0
