,importance
x_10,0.4220049066265461
BZip2,0.26070153328150353
Deflate,0.12043591473477688
x_8,0.08668200383250409
PPMd,0.06117508174682154
x_6,0.04378596063402887
LZMA,0.0018553582212604957
mtOff,0.0012919937678273678
LZMA2,0.0012076951194046712
x_0,0.0003148611930793044
x_2,0.00023479792941885744
BlockSize_1,5.542780387384218e-05
Files_0,5.510156241136405e-05
#yes,4.670631192912394e-05
BlockSize_2,3.875279573929013e-05
HeaderCompressionOff,2.4752805143120777e-05
tmOff,2.172199285697609e-05
BlockSize_4,1.6050529680559342e-05
BlockSize_8,1.5064344717833768e-05
BlockSize_128,1.3481060077128712e-05
filterOff,9.691351733551421e-06
x_4,6.594727927180568e-06
BlockSize_64,2.0352016480365843e-06
BlockSize_2048,1.9283294523485176e-06
Files_60,1.2829021280895764e-06
Files_10,9.089485825941192e-07
BlockSize_1024,3.922449272958735e-07
BlockSize_4096,0.0
Files_70,0.0
Files_20,0.0
Files_30,0.0
Files_40,0.0
Files_100,0.0
Files_90,0.0
BlockSize_512,0.0
BlockSize_256,0.0
BlockSize_32,0.0
BlockSize_16,0.0
Files_80,0.0
Files_50,0.0
