,importance
x_10,0.3695982593445249
Deflate,0.21360038356020355
x_6,0.18163978095603067
x_8,0.17428126011614387
PPMd,0.04584971927689939
BZip2,0.005816614817148474
BlockSize_16,0.0018862711600506478
mtOff,0.0012914968294654903
Files_10,0.0011505151940134337
LZMA2,0.0008005318672019916
filterOff,0.000745363208356396
HeaderCompressionOff,0.0007407592050120271
tmOff,0.000661601135373293
LZMA,0.0005808412232318468
Files_40,0.0004767110528451546
BlockSize_1,0.00021216352466159726
BlockSize_4,0.00021171932625664138
BlockSize_2,9.630073466455687e-05
x_4,9.409797273611832e-05
BlockSize_1024,6.151668824160139e-05
x_0,5.7443020483586316e-05
BlockSize_256,3.2422581207876866e-05
BlockSize_8,1.922070043606102e-05
BlockSize_64,1.672185011160552e-05
BlockSize_32,1.3961754937363104e-05
BlockSize_4096,1.3255014727323457e-05
BlockSize_512,1.2004590883666315e-05
BlockSize_2048,9.193587936980446e-06
Files_20,9.03694150693624e-06
Files_0,7.67704810871287e-06
Files_60,6.7996163402687505e-06
BlockSize_128,3.333066758587847e-06
x_2,2.080877324305991e-06
Files_90,6.981594045642835e-07
Files_100,1.343864402564437e-07
Files_70,5.108432441738623e-08
Files_30,2.9330359140067804e-08
Files_80,2.2906473028289983e-08
Files_50,6.289173666098851e-09
BlockSize,0.0
x,0.0
Files,0.0
CompressionMethod,0.0
root,0.0
