,importance
BZip2,0.3901523374216593
x_10,0.26063026553927965
PPMd,0.12077455879374367
x_8,0.08892295023445708
Deflate,0.08607158397219342
x_6,0.0486508599197494
mtOff,0.00172837870278508
#yes,0.000579860943504765
BlockSize_1,0.0005420939302782064
BlockSize_4,0.00033420170665229745
HeaderCompressionOff,0.00020150945096887547
filterOff,0.00019947814330417392
tmOff,0.00019701142490540492
LZMA,0.00014354332796678255
BlockSize_256,0.00012083611624707823
BlockSize_16,0.00010288600716713335
x_4,9.219808739305453e-05
LZMA2,8.648704870081939e-05
Files_40,8.523161167926755e-05
BlockSize_2048,5.448024086804383e-05
Files_90,4.838731928799359e-05
Files_10,4.13784350632977e-05
Files_20,3.725204182595476e-05
Files_100,3.7104958341930094e-05
BlockSize_4096,2.4937054468753064e-05
x_0,2.1553230743304623e-05
Files_30,2.099662570042167e-05
BlockSize_32,1.9201573323938967e-05
BlockSize_8,1.562135693419633e-05
BlockSize_128,1.110930809331546e-05
x_2,1.0572611625435663e-05
BlockSize_2,9.408344121681472e-06
Files_70,8.71123676276342e-06
BlockSize_1024,8.401379933305943e-06
Files_80,7.319903993715383e-06
Files_60,5.890442595682192e-06
Files_0,5.914831416744966e-07
BlockSize_64,4.836907050147481e-07
BlockSize_512,3.2201792805231294e-07
Files_50,4.361906140969211e-09
