,importance
x_10,0.6110453082544834
BZip2,0.20957208169917405
Deflate,0.07322213939606306
x_8,0.0715204641538285
PPMd,0.027684505665703674
x_6,0.005975236312722623
mtOff,0.00015415913841237237
x_4,0.00014463824768391406
tmOff,6.48156543646284e-05
filterOff,5.575744484294361e-05
HeaderCompressionOff,5.5410540052076775e-05
Files_0,5.4827182918419203e-05
LZMA2,4.586649362853729e-05
BlockSize_4,2.9553325379970895e-05
LZMA,2.5797741163020924e-05
Files_40,2.5317796475065936e-05
BlockSize_32,2.1861732828377967e-05
BlockSize_1,2.1665171335716875e-05
Files_20,2.0908160630794233e-05
BlockSize_2,2.034272904118389e-05
Files_100,2.020824910097807e-05
Files_60,1.9756454140696334e-05
BlockSize_8,1.7668123459980914e-05
BlockSize_4096,1.5479424679774408e-05
Files_10,1.4302370864244628e-05
BlockSize_16,1.4166466283720597e-05
Files_50,1.2765299693688105e-05
Files_90,1.2673477701916681e-05
BlockSize_2048,1.2468342355957628e-05
x_0,1.2387209997597103e-05
BlockSize_1024,1.1703710983591863e-05
Files_30,1.1632411489200573e-05
BlockSize_256,1.124192693354262e-05
Files_70,1.0980849356388019e-05
BlockSize_64,1.0633816940811778e-05
Files_80,9.888133768020736e-06
BlockSize_512,8.95213778959604e-06
BlockSize_128,7.336211609097995e-06
x_2,5.098542118750704e-06
x,0.0
BlockSize,0.0
Files,0.0
CompressionMethod,0.0
root,0.0
