,importance
x_10,0.6147875562094404
BZip2,0.2089833129217099
Deflate,0.07234249791030156
x_8,0.06931422716447906
PPMd,0.027386906959960166
x_6,0.006059544668452223
x_4,0.00014497708137077675
mtOff,0.0001289927722142757
LZMA2,0.00011670421059840974
LZMA,0.00011569047354055703
Files_0,5.762023617607735e-05
#yes,5.517534531472029e-05
tmOff,5.318573360678878e-05
filterOff,4.370487945263094e-05
HeaderCompressionOff,4.3456551144162134e-05
BlockSize_4,3.0282128445085445e-05
BlockSize_2,2.4059000868063743e-05
BlockSize_32,2.224887600994147e-05
BlockSize_1,2.2071693067338284e-05
Files_20,2.076850941949129e-05
BlockSize_8,1.9027124797927647e-05
Files_60,1.8986932872696704e-05
Files_100,1.8517664351415646e-05
BlockSize_4096,1.5352722308300633e-05
BlockSize_2048,1.4796473382508079e-05
Files_40,1.4395541804851547e-05
Files_50,1.374071257217545e-05
Files_10,1.3339478203354638e-05
BlockSize_16,1.2908834715630662e-05
Files_90,1.2068990000960275e-05
x_0,1.1662392461629663e-05
Files_30,1.1266934971556901e-05
BlockSize_1024,1.0556248831490139e-05
BlockSize_512,1.0030965189605085e-05
Files_70,9.952266764586473e-06
BlockSize_256,9.49250794217479e-06
Files_80,9.134195864875252e-06
BlockSize_64,8.463652390721213e-06
BlockSize_128,7.765803841990365e-06
x_2,5.557231159934309e-06
