,importance
BZip2,1.1179327341838292e+16
Deflate,1.1179327341833328e+16
LZMA,1.1179327341833108e+16
LZMA2,1.1179327341832516e+16
PPMd,1.1179327341828742e+16
x_10,9759081964475908.0
x_8,9759081964449778.0
x_6,9759081964438750.0
x_4,9759081964436854.0
x_2,9759081964436698.0
x_0,9759081964436652.0
Files_90,4909999323521152.0
Files_0,4909999323520580.0
Files_70,4909999323520259.0
Files_30,4909999323520255.0
Files_10,4909999323520086.0
Files_50,4909999323519954.0
Files_100,4909999323519950.0
Files_80,4909999323519941.0
Files_20,4909999323519926.0
Files_60,4909999323518817.0
Files_40,4909999323518580.0
#yes,3147780899220658.0
HeaderCompressionOff,3147780899219841.5
filterOff,3147780899219235.0
tmOff,3147780899219172.5
mtOff,3147780899219031.0
BlockSize_32,2987580748713026.0
BlockSize_16,2987580748712904.5
BlockSize_1024,2987580748712498.0
BlockSize_64,2987580748712331.5
BlockSize_1,2987580748712299.5
BlockSize_512,2987580748712296.5
BlockSize_8,2987580748712261.0
BlockSize_2,2987580748712260.5
BlockSize_4,2987580748712253.0
BlockSize_128,2987580748712208.5
BlockSize_4096,2987580748712177.5
BlockSize_2048,2987580748712137.0
BlockSize_256,2987580748711084.0
