,importance
x_10,0.3182239312390635
BZip2,0.2750396894045578
x_8,0.12901467537559508
Deflate,0.09754610334161404
x_6,0.07938130992465987
PPMd,0.0662163886786533
LZMA,0.021760882011585957
LZMA2,0.009896723502971355
BlockSize_16,0.0004985342533564724
filterOff,0.00032386568950204785
tmOff,0.0003108375536238161
HeaderCompressionOff,0.0002674609810425984
x_4,0.00021745625011111412
BlockSize_4,0.00020028298701891046
mtOff,0.0001488831395425452
Files_50,0.0001321181615588135
x_0,9.595946893643445e-05
Files_20,9.583945053947617e-05
x_2,8.987092823029145e-05
BlockSize_1,8.287481853427756e-05
Files_10,8.277165300277831e-05
Files_70,6.340001943774347e-05
BlockSize_32,6.212411742698138e-05
BlockSize_8,5.589427906262622e-05
BlockSize_2,4.724190016526742e-05
Files_60,3.165344621387184e-05
Files_0,3.0794848591416114e-05
Files_100,1.800114372361578e-05
Files_30,1.5935597517585438e-05
BlockSize_128,1.532542111920346e-05
Files_90,1.086095075971312e-05
Files_40,8.907301278515852e-06
BlockSize_64,8.410791444020737e-06
Files_80,4.459356592720161e-06
BlockSize_4096,2.2221329804807693e-07
BlockSize_256,9.340203351444053e-08
BlockSize_1024,7.432231505101302e-08
BlockSize_2048,7.342031796977136e-08
BlockSize_512,6.865500171440886e-08
BlockSize,0.0
x,0.0
Files,0.0
CompressionMethod,0.0
root,0.0
