,importance
x_10,0.4416850460800912
BZip2,0.29326265339919483
Deflate,0.13296324214171062
x_8,0.05740298770728721
PPMd,0.04166412488857482
x_6,0.016014668942292906
LZMA,0.009942130387830345
LZMA2,0.004166249615873712
mtOff,0.0009538965063397705
#yes,0.00037454134526222906
Files_0,0.00017631347768239588
BlockSize_4,0.0001332580466217557
BlockSize_1,0.00012342979894679993
filterOff,0.00011658767822510914
HeaderCompressionOff,0.00011380116381509782
tmOff,0.00010800251610130564
BlockSize_16,9.045514643330579e-05
BlockSize_64,8.28503073521745e-05
BlockSize_2,7.765033817907688e-05
x_4,6.206856466116077e-05
Files_10,4.1232930764144836e-05
Files_40,4.0042496238854296e-05
Files_50,3.7473007074259485e-05
Files_80,3.68718732456372e-05
Files_30,3.537531787092543e-05
Files_60,2.9364117181704385e-05
Files_70,2.9091993596465896e-05
BlockSize_2048,2.8279133745697912e-05
Files_20,2.754061932865391e-05
BlockSize_8,2.707748890664927e-05
BlockSize_4096,2.4882195448578485e-05
Files_100,2.3130101663832603e-05
x_0,2.2929800403236572e-05
Files_90,1.6177902842285702e-05
BlockSize_256,1.5761714389440335e-05
BlockSize_32,1.310631049108388e-05
BlockSize_512,1.236590545480108e-05
x_2,1.0731814165154084e-05
BlockSize_128,1.0155664654243339e-05
BlockSize_1024,4.451560058752312e-06
