,importance
x_10,0.646105739648436
BZip2,0.0670501842518681
tmOff,0.037933461225355944
mtOff,0.03429344979499272
Files_60,0.0320104417915782
Deflate,0.028451931776803545
Files_100,0.02461705803311078
BlockSize_128,0.021787001645622556
Files_30,0.018693948029274755
BlockSize_2,0.013535415193756263
LZMA2,0.012680347802253144
Files_70,0.012353199061045792
BlockSize_2048,0.008797872938442712
PPMd,0.007041734644672277
Files_90,0.005731269151893109
HeaderCompressionOff,0.004752098204613968
x_8,0.0037188496066695225
BlockSize_4,0.0032193776812730873
LZMA,0.0026915717021498207
BlockSize_64,0.00250535829992624
Files_10,0.0024838462548805317
x_6,0.00214735078439397
BlockSize_256,0.0019030641260109364
BlockSize_32,0.001896422796543995
BlockSize_4096,0.0014974701450889518
filterOff,0.0009073873528934357
Files_40,0.0005784445736107348
Files_50,0.0004970330125175505
x_0,5.163047299208922e-05
x_4,3.564336485048223e-05
BlockSize_16,1.4670732138808508e-05
x_2,1.2216724425441781e-05
BlockSize_1024,2.1883090951811117e-06
BlockSize_512,1.9875853832188206e-06
Files_20,2.3580967959196194e-07
BlockSize_1,9.747175653253048e-08
CompressionMethod,0.0
BlockSize_8,0.0
x,0.0
Files,0.0
BlockSize,0.0
Files_80,0.0
Files_0,0.0
root,0.0
