,importance
x_10,0.4404507831647386
BZip2,0.1856044271998385
Deflate,0.1667283945717591
x_8,0.10397348156300237
PPMd,0.0590681338118952
x_6,0.03174686755625922
LZMA2,0.004171539781306817
LZMA,0.003599343654787945
mtOff,0.0015988703446411278
BlockSize_1,0.0006332329740818627
filterOff,0.00045797251713519747
tmOff,0.0004455614711658537
HeaderCompressionOff,0.00043764024237763857
Files_0,0.00021343170530877757
BlockSize_256,0.00011767365379009603
x_4,0.00010769111637560916
Files_40,9.637540555928244e-05
Files_60,8.766741650683849e-05
BlockSize_64,6.334423512076531e-05
BlockSize_16,5.8727358744970696e-05
Files_50,4.182748713008921e-05
BlockSize_2,3.955212349455085e-05
Files_20,3.1272786015606756e-05
x_0,3.06380803267687e-05
BlockSize_32,2.753700644799484e-05
BlockSize_128,2.3038689585578424e-05
x_2,1.831317432965784e-05
Files_70,1.811521610286187e-05
Files_10,1.6082211460347045e-05
BlockSize_512,1.4936477382136728e-05
BlockSize_4,1.2452294242308438e-05
Files_80,1.1280697186691571e-05
Files_100,9.29515486821914e-06
BlockSize_1024,9.174794886920465e-06
BlockSize_2048,8.76593843245846e-06
Files_30,8.494811918977617e-06
Files_90,8.226062635777458e-06
BlockSize_4096,6.947191118404637e-06
BlockSize_8,2.8900580388023135e-06
x,0.0
BlockSize,0.0
Files,0.0
CompressionMethod,0.0
root,0.0
