,importance
x_10,0.30425829180212066
x_8,0.13349547206742757
Deflate,0.09457873394332089
Files_30,0.06639101652113327
BlockSize_2,0.05428074404107287
PPMd,0.05185221848825584
filterOff,0.03928997998319602
Files_60,0.03429504691127876
HeaderCompressionOff,0.029566101651044136
LZMA,0.020038234741269756
BlockSize_2048,0.01691219101464332
tmOff,0.015646128708411096
BZip2,0.014489222378502992
BlockSize_256,0.014458064821178146
BlockSize_4,0.014274491274041547
Files_50,0.013263139133483311
x_2,0.013073043040349935
x_6,0.011932598488534762
Files_100,0.01045187481896557
x_4,0.0071970944535410955
x_0,0.0058654047019773385
BlockSize_32,0.005254821863461255
BlockSize_4096,0.005248816972778989
mtOff,0.004829853083013794
Files_90,0.004122304041568575
BlockSize_128,0.00305590756324878
BlockSize_8,0.0029913691369414705
BlockSize_16,0.002677859674634553
Files_0,0.0018054505208314582
Files_10,0.0016793860540889104
Files_70,0.0014313006974922121
Files_40,0.0005328140429175371
LZMA2,0.0004298748961178201
BlockSize_64,0.00021531539190290894
Files_20,3.208650754044391e-05
Files_80,2.9855711820008113e-05
BlockSize_512,2.7789172973051292e-05
BlockSize_1,2.5898889034037975e-05
BlockSize_1024,2.0279588534617177e-07
Files,0.0
x,0.0
BlockSize,0.0
CompressionMethod,0.0
root,0.0
