,importance
x_10,2.6843273053239638e+17
x_8,2.6843273053238426e+17
x_6,2.684327305323757e+17
x_4,2.6843273053236944e+17
x_0,2.6843273053236736e+17
x_2,2.6843273053236624e+17
BlockSize_64,1.1813870584462966e+17
BlockSize_256,1.1813870584462874e+17
BlockSize_1,1.1813870584462872e+17
BlockSize_1024,1.1813870584462838e+17
BlockSize_16,1.1813870584462718e+17
BlockSize_2048,1.1813870584462686e+17
BlockSize_512,1.1813870584462622e+17
BlockSize_32,1.181387058446262e+17
BlockSize_8,1.181387058446261e+17
BlockSize_4,1.1813870584462592e+17
BlockSize_4096,1.1813870584462445e+17
BlockSize_2,1.1813870584462424e+17
BlockSize_128,1.1813870584462371e+17
Files_0,4.6809835649094776e+16
Files_40,4.680983564909387e+16
Files_20,4.680983564909361e+16
Files_90,4.680983564909304e+16
Files_70,4.6809835649092584e+16
Files_30,4.680983564909207e+16
Files_60,4.680983564909159e+16
Files_80,4.680983564909072e+16
Files_100,4.6809835649090616e+16
Files_50,4.680983564909024e+16
Files_10,4.6809835649087864e+16
PPMd,3.2354248506714896e+16
LZMA,3.2354248506707636e+16
LZMA2,3.2354248506707092e+16
Deflate,3.23542485067045e+16
BZip2,3.235424850669879e+16
mtOff,1.602606143362025e+16
filterOff,1.6026061433620134e+16
#yes,1.6026061433619848e+16
HeaderCompressionOff,1.6026061433619808e+16
tmOff,1.6026061433619358e+16
