,importance
PPMd,0.49844664252036425
LZMA2,0.1185572170151791
mtOff,0.08582911197981258
tmOff,0.08231743860443136
filterOff,0.0749100923910365
LZMA,0.07464689809836032
HeaderCompressionOff,0.06454643139427078
BlockSize_1,0.0005432823592500068
Files_10,8.201085689166907e-05
Files_0,7.85432934641912e-05
BlockSize_16,4.233148693931265e-05
x_2,0.0
x_4,0.0
BlockSize_8,0.0
x_0,0.0
x,0.0
BlockSize_4096,0.0
BlockSize_2048,0.0
BlockSize_1024,0.0
BlockSize_512,0.0
BlockSize_256,0.0
BlockSize_128,0.0
x_6,0.0
BlockSize_64,0.0
x_8,0.0
BlockSize_32,0.0
root,0.0
Files_100,0.0
BlockSize_4,0.0
BlockSize_2,0.0
BlockSize,0.0
Files_90,0.0
Files_80,0.0
Files_70,0.0
Files_60,0.0
Files_50,0.0
Files_40,0.0
Files_30,0.0
Files_20,0.0
Files,0.0
Deflate,0.0
BZip2,0.0
CompressionMethod,0.0
x_10,0.0
