,importance
x_10,9.200964536929149e+16
x_8,9.200964536928302e+16
x_6,9.200964536927846e+16
x_4,9.200964536927141e+16
x_0,9.200964536927075e+16
x_2,9.200964536927072e+16
mtOff,1.6953073120001072e+16
filterOff,1.6953073120000918e+16
#yes,1.69530731200009e+16
HeaderCompressionOff,1.6953073120000896e+16
tmOff,1.6953073120000804e+16
BlockSize_512,7378775805121479.0
BlockSize_64,7378775805117747.0
BlockSize_2,7378775805116833.0
BlockSize_1024,7378775805115164.0
BlockSize_32,7378775805114845.0
BlockSize_2048,7378775805114377.0
BlockSize_256,7378775805114259.0
BlockSize_4096,7378775805114114.0
BlockSize_128,7378775805114074.0
BlockSize_4,7378775805113882.0
BlockSize_16,7378775805113787.0
BlockSize_1,7378775805113412.0
BlockSize_8,7378775805113295.0
Files_60,5527979077588403.0
Files_10,5527979077587221.0
Files_90,5527979077586971.0
Files_40,5527979077586752.0
Files_30,5527979077586751.0
Files_0,5527979077586683.0
Files_100,5527979077586600.0
Files_70,5527979077586489.0
Files_80,5527979077586275.0
Files_20,5527979077585906.0
Files_50,5527979077585793.0
PPMd,4278224577382881.0
LZMA,4278224577374829.0
LZMA2,4278224577374419.0
Deflate,4278224577372009.5
BZip2,4278224577367409.5
