,importance
x_10,0.7895003982302772
x_8,0.09014061113294082
BZip2,0.07224142572750794
Deflate,0.02437285938854399
PPMd,0.008745221240981205
Files_0,0.004649489747393817
BlockSize_2048,0.0026726349200014727
x_6,0.0025533867362905666
LZMA,0.0016240716572889795
Files_20,0.0013205411161532066
LZMA2,0.0011392442426817965
Files_90,0.00028970591581323776
tmOff,0.00010419538307319486
x_0,8.875215549316768e-05
x_4,7.383103032267392e-05
HeaderCompressionOff,6.0816611066140635e-05
x_2,5.777585624797874e-05
BlockSize_32,4.856101894920604e-05
mtOff,3.315570121840237e-05
Files_40,2.8337345331659976e-05
Files_60,2.7935617527645036e-05
Files_50,2.5131606838999587e-05
filterOff,2.4986497670673068e-05
BlockSize_1,1.8470148690064965e-05
Files_70,1.573539465824447e-05
BlockSize_16,1.4805321999715841e-05
BlockSize_8,1.3087160585430521e-05
Files_100,1.1916758281759551e-05
BlockSize_1024,1.1240437388684696e-05
Files_80,1.049427557094913e-05
BlockSize_4,1.0159930545262153e-05
BlockSize_2,1.0096805845426366e-05
BlockSize_256,9.914917873538098e-06
Files_30,9.673166955256176e-06
BlockSize_512,9.662382029080654e-06
Files_10,8.834356953271676e-06
BlockSize_64,8.506341361545518e-06
BlockSize_4096,8.361653375805798e-06
BlockSize_128,5.972068271911345e-06
BlockSize,0.0
x,0.0
Files,0.0
CompressionMethod,0.0
root,0.0
