,importance
PS32K,0.5305079602579742
HAVE_CRYPTO,0.2975170953465934
PS16K,0.1387426153949167
PS8K,0.0272228399333494
PS4K,0.004829880470224015
HAVE_HASH,0.0011275535687675857
#yes,4.246731017885033e-05
HAVE_STATISTICS,4.729126828267611e-06
DIAGNOSTIC,3.2726054705910125e-06
HAVE_REPLICATION,3.1350800738252366e-07
CS32MB,2.8523239380372523e-07
HAVE_SEQUENCE,2.632213016400689e-07
HAVE_VERIFY,2.3847545225611986e-07
CS16MB,1.9646700741332818e-07
CS64MB,1.4858626736508287e-07
CS512MB,1.4049526704818284e-07
PS1K,0.0
