,importance
PS32K,0.45656376273574406
HAVE_CRYPTO,0.39951372400157287
PS16K,0.11667523305919798
PS8K,0.021984505525489226
PS4K,0.0023933717133976253
PS1K,0.0015922647398314068
HAVE_HASH,0.0012659225098264706
DIAGNOSTIC,5.410926368374971e-06
HAVE_STATISTICS,2.2093184968402337e-06
HAVE_SEQUENCE,9.65753204489726e-07
HAVE_VERIFY,6.745998165159318e-07
CS64MB,6.152990084083329e-07
HAVE_REPLICATION,3.860616316339752e-07
CS512MB,3.7251412542374515e-07
CS16MB,3.1859531360669756e-07
CS32MB,2.6264697504182667e-07
CACHESIZE,0.0
PAGESIZE,0.0
root,0.0
