,importance
PS16K,0.774848741816851
PS1K,0.1046553490220843
PS8K,0.06158374857874964
HAVE_SEQUENCE,0.02249880385804054
PS4K,0.020522333051665138
HAVE_HASH,0.009989326301510676
CS32MB,0.0042274847702642405
DIAGNOSTIC,0.0005034895821687369
HAVE_STATISTICS,0.00047433679354865984
CS64MB,0.00033973395658373377
CS16MB,0.00017851499590346848
HAVE_VERIFY,0.00017799917591499462
HAVE_REPLICATION,1.3745271819007487e-07
CS512MB,6.439966522362115e-10
CACHESIZE,0.0
PS32K,0.0
HAVE_CRYPTO,0.0
PAGESIZE,0.0
root,0.0
