,importance
PS32K,0.4732183883146483
HAVE_CRYPTO,0.361206227275008
PS16K,0.13309361787594803
PS8K,0.026526019411860967
PS1K,0.0027434882015721024
PS4K,0.002038446916857491
HAVE_HASH,0.0011415812101834772
#yes,1.9124396132711897e-05
HAVE_STATISTICS,4.9183849287728555e-06
HAVE_REPLICATION,3.652032450122417e-06
DIAGNOSTIC,2.8354554196187956e-06
HAVE_VERIFY,6.822732020185785e-07
CS64MB,3.078353382686999e-07
CS32MB,2.7595596195404873e-07
HAVE_SEQUENCE,1.6729428629611093e-07
CS16MB,1.3420961433412912e-07
CS512MB,1.3295658756069542e-07
