,importance
PS32K,0.3552836533349931
PS16K,0.24620995370976015
CS32MB,0.1454406943643027
HAVE_CRYPTO,0.07295055519907741
PS8K,0.06781331752225037
HAVE_VERIFY,0.055349555513403724
PS1K,0.016938373380620295
HAVE_HASH,0.014124398282391475
HAVE_SEQUENCE,0.011515843926818545
PS4K,0.010670028637102496
DIAGNOSTIC,0.0035056212585308894
CS64MB,0.00017380184718540225
CS512MB,2.390257880028696e-05
CS16MB,1.4053917802448407e-07
HAVE_STATISTICS,1.0392613112481356e-07
HAVE_REPLICATION,5.597945405952254e-08
PAGESIZE,0.0
CACHESIZE,0.0
root,0.0
