,importance
PS32K,0.4526272763524646
HAVE_CRYPTO,0.3963191830097856
PS16K,0.12305880360880843
PS8K,0.022030677415837675
PS4K,0.0027572624627135835
PS1K,0.0018571273587579794
HAVE_HASH,0.0013200289410170594
#yes,2.2725176677675098e-05
DIAGNOSTIC,3.333808810325878e-06
HAVE_VERIFY,8.257154883654986e-07
HAVE_STATISTICS,7.441641397478448e-07
HAVE_SEQUENCE,6.108064779259365e-07
CS32MB,3.9954068726117943e-07
CS64MB,3.9540930048945663e-07
HAVE_REPLICATION,3.0499229151063035e-07
CS512MB,1.5775161974782714e-07
CS16MB,1.4348512201916664e-07
