,importance
HAVE_CRYPTO,0.4163226785562483
PS16K,0.3461194074117112
PS32K,0.0890675739438154
PS8K,0.0859821880161296
PS1K,0.037773373237083484
PS4K,0.02095453055294323
HAVE_HASH,0.003767860858626757
DIAGNOSTIC,9.000875205278962e-06
HAVE_STATISTICS,1.027836500514897e-06
HAVE_VERIFY,1.0179556825426152e-06
HAVE_SEQUENCE,6.84374425333336e-07
HAVE_REPLICATION,5.589902839506605e-07
CS32MB,6.73845972326557e-08
CS16MB,2.996147505438862e-08
CS64MB,4.3933468013513154e-11
CS512MB,1.3385253179356398e-12
CACHESIZE,0.0
PAGESIZE,0.0
root,0.0
