,importance
HAVE_HASH,0.41526523069608795
HAVE_CRYPTO,0.39978552570551296
PS32K,0.10705899554607627
PS16K,0.0728925676807012
PS4K,0.0038676290748707503
HAVE_VERIFY,0.0005814316444783303
CS64MB,0.00020950142195537815
DIAGNOSTIC,0.00020328952278920496
HAVE_REPLICATION,4.7335618723147024e-05
HAVE_STATISTICS,4.435288164478657e-05
PS8K,4.103848833473506e-05
HAVE_SEQUENCE,1.4472889847077798e-06
CS32MB,1.1520259490142926e-06
PS1K,4.90698508489996e-07
CS512MB,1.0978837807959122e-08
CS16MB,7.265453061297187e-10
CACHESIZE,0.0
PAGESIZE,0.0
root,0.0
