,importance
HAVE_CRYPTO,0.5733166186252088
PS32K,0.26926112494829996
PS16K,0.14268891177642265
PS8K,0.0099530883020951
PS1K,0.0033712787382676125
HAVE_HASH,0.0013935032945911604
PS4K,6.367671415995471e-06
DIAGNOSTIC,4.737562252559879e-06
HAVE_STATISTICS,2.831819600734655e-06
#yes,3.182242752914034e-07
HAVE_VERIFY,3.123643879314665e-07
HAVE_SEQUENCE,2.598398368497057e-07
HAVE_REPLICATION,1.554616700814656e-07
CS32MB,1.5447234639004297e-07
CS512MB,1.2310046553575816e-07
CS64MB,1.1427877626161404e-07
CS16MB,9.952008694520146e-08
