,importance
PS32K,0.486688246989437
HAVE_CRYPTO,0.3418540891463682
PS16K,0.13869393560675447
PS8K,0.02637656650201668
PS4K,0.003417290538574669
PS1K,0.0017993282662556152
HAVE_HASH,0.001139114117422032
#yes,2.2328813068215403e-05
HAVE_STATISTICS,4.6270813286654276e-06
DIAGNOSTIC,2.528237392700038e-06
HAVE_REPLICATION,7.092535207497336e-07
HAVE_VERIFY,2.999474362274831e-07
CS32MB,2.414076275869164e-07
HAVE_SEQUENCE,2.0487498791045072e-07
CS16MB,1.9142016506426695e-07
CS64MB,1.5822001257863813e-07
CS512MB,1.3957763172877846e-07
