,importance
PS32K,0.49563589002282543
HAVE_CRYPTO,0.4178639424042026
PS16K,0.06886947410846606
PS8K,0.014129274198395624
PS1K,0.0014311704650617752
PS4K,0.0013866904735102905
HAVE_HASH,0.0005457130993801976
HAVE_REPLICATION,5.776522889348878e-05
HAVE_VERIFY,5.4943613430690195e-05
DIAGNOSTIC,8.38236380465629e-06
HAVE_STATISTICS,5.070841363694119e-06
CS512MB,3.760499172652197e-06
CS32MB,3.392062738344439e-06
CS64MB,2.2197004138997538e-06
CS16MB,1.867823785277475e-06
HAVE_SEQUENCE,4.430945553651018e-07
PAGESIZE,0.0
CACHESIZE,0.0
root,0.0
