,importance
PS32K,0.46510432997043494
HAVE_CRYPTO,0.392852729095744
PS16K,0.11426172989479311
PS8K,0.022165709514339653
PS1K,0.002412484584860062
PS4K,0.0019190204015307733
HAVE_HASH,0.0012672740514821077
#yes,7.119071384471262e-06
DIAGNOSTIC,4.141761068527443e-06
HAVE_REPLICATION,2.912575410481356e-06
HAVE_VERIFY,7.040398107309309e-07
CS64MB,4.0138690936126403e-07
HAVE_SEQUENCE,3.7653597934330323e-07
HAVE_STATISTICS,3.38141686505009e-07
CS32MB,3.2977532450101545e-07
CS512MB,2.6274082659134045e-07
CS16MB,1.3645841493450248e-07
