,importance
HAVE_CRYPTO,0.6326539587202669
PS32K,0.13818357742221188
PS16K,0.13694901802263865
PS4K,0.05064412463192617
CS64MB,0.029322189673917722
PS8K,0.0067042841507557165
CS512MB,0.0021664596480058585
PS1K,0.0018780096016069398
HAVE_HASH,0.0014872890029884295
CS32MB,5.488337132116937e-06
DIAGNOSTIC,3.0564607780315055e-06
HAVE_VERIFY,1.2288610955876285e-06
HAVE_STATISTICS,4.64380228314143e-07
HAVE_REPLICATION,4.353426109970127e-07
HAVE_SEQUENCE,3.349863910214904e-07
CS16MB,8.07574458231916e-08
PAGESIZE,0.0
CACHESIZE,0.0
root,0.0
