,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy
0,LinearRegression,False,None,"Index(['root', 'HAVE_CRYPTO', 'HAVE_HASH', 'HAVE_REPLICATION', 'HAVE_VERIFY',
       'HAVE_SEQUENCE', 'HAVE_STATISTICS', 'DIAGNOSTIC', 'PAGESIZE', 'PS1K',
       'PS4K', 'PS8K', 'PS16K', 'PS32K', 'CACHESIZE', 'CS32MB', 'CS16MB',
       'CS64MB', 'CS512MB'],
      dtype='object')",LinearRegression(),Performance,0.1,"PS16K               9.793024e+00
PS4K                5.622013e+00
HAVE_CRYPTO         3.653029e+00
PS1K                3.653029e+00
HAVE_HASH           3.653029e+00
PS8K                5.179824e-01
DIAGNOSTIC          2.164155e-02
HAVE_SEQUENCE       2.059572e-02
HAVE_VERIFY         2.059572e-02
CS32MB              1.531483e-02
CS64MB              1.191418e-02
HAVE_REPLICATION    5.711282e-03
CS16MB              2.641820e-03
CS512MB             7.588335e-04
HAVE_STATISTICS     8.335302e-05
root                5.329071e-15
dtype: float64","count      2.000000
mean     137.785440
std      193.938919
min        0.649915
25%       69.217677
50%      137.785440
75%      206.353202
max      274.920964
Name: % error, dtype: float64"
1,Lasso,False,None,"Index(['root', 'HAVE_CRYPTO', 'HAVE_HASH', 'HAVE_REPLICATION', 'HAVE_VERIFY',
       'HAVE_SEQUENCE', 'HAVE_STATISTICS', 'DIAGNOSTIC', 'PAGESIZE', 'PS1K',
       'PS4K', 'PS8K', 'PS16K', 'PS32K', 'CACHESIZE', 'CS32MB', 'CS16MB',
       'CS64MB', 'CS512MB'],
      dtype='object')","Lasso(alpha=0.01, max_iter=100)",Performance,0.1,"PS16K            1.032722e+01
HAVE_CRYPTO      9.984422e+00
PS4K             4.988388e+00
PS1K             2.896377e-01
HAVE_VERIFY      3.233082e-02
HAVE_HASH        1.312082e-16
HAVE_SEQUENCE    8.591012e-17
dtype: float64","count      2.000000
mean     205.468593
std      289.615558
min        0.679468
25%      103.074030
50%      205.468593
75%      307.863155
max      410.257718
Name: % error, dtype: float64"
2,Ridge,False,None,"Index(['root', 'HAVE_CRYPTO', 'HAVE_HASH', 'HAVE_REPLICATION', 'HAVE_VERIFY',
       'HAVE_SEQUENCE', 'HAVE_STATISTICS', 'DIAGNOSTIC', 'PAGESIZE', 'PS1K',
       'PS4K', 'PS8K', 'PS16K', 'PS32K', 'CACHESIZE', 'CS32MB', 'CS16MB',
       'CS64MB', 'CS512MB'],
      dtype='object')",Ridge(alpha=0.01),Performance,0.1,"PS16K               9.741295
PS4K                5.556923
HAVE_CRYPTO         3.628259
HAVE_HASH           3.628259
PS1K                3.628259
PS8K                0.556113
HAVE_VERIFY         0.067888
HAVE_SEQUENCE       0.067888
HAVE_REPLICATION    0.046850
CS32MB              0.041037
HAVE_STATISTICS     0.033485
DIAGNOSTIC          0.032782
CS64MB              0.020338
CS512MB             0.017468
CS16MB              0.003232
dtype: float64","count      2.000000
mean     139.526907
std      195.748703
min        1.111672
25%       70.319290
50%      139.526907
75%      208.734525
max      277.942143
Name: % error, dtype: float64"
3,ElasticNet,False,None,"Index(['root', 'HAVE_CRYPTO', 'HAVE_HASH', 'HAVE_REPLICATION', 'HAVE_VERIFY',
       'HAVE_SEQUENCE', 'HAVE_STATISTICS', 'DIAGNOSTIC', 'PAGESIZE', 'PS1K',
       'PS4K', 'PS8K', 'PS16K', 'PS32K', 'CACHESIZE', 'CS32MB', 'CS16MB',
       'CS64MB', 'CS512MB'],
      dtype='object')","ElasticNet(alpha=0.01, l1_ratio=1.0, max_iter=100)",Performance,0.1,"PS16K            1.032722e+01
HAVE_CRYPTO      9.984422e+00
PS4K             4.988388e+00
PS1K             2.896377e-01
HAVE_VERIFY      3.233082e-02
HAVE_HASH        1.312082e-16
HAVE_SEQUENCE    8.591012e-17
dtype: float64","count      2.000000
mean     205.468593
std      289.615558
min        0.679468
25%      103.074030
50%      205.468593
75%      307.863155
max      410.257718
Name: % error, dtype: float64"
4,LinearRegression,False,None,"Index(['root', 'HAVE_CRYPTO', 'HAVE_HASH', 'HAVE_REPLICATION', 'HAVE_VERIFY',
       'HAVE_SEQUENCE', 'HAVE_STATISTICS', 'DIAGNOSTIC', 'PAGESIZE', 'PS1K',
       'PS4K', 'PS8K', 'PS16K', 'PS32K', 'CACHESIZE', 'CS32MB', 'CS16MB',
       'CS64MB', 'CS512MB'],
      dtype='object')",LinearRegression(),Performance,0.2,"PS16K               9.797404e+00
PS4K                5.637100e+00
PS1K                3.651569e+00
HAVE_HASH           3.651569e+00
HAVE_CRYPTO         3.651569e+00
PS8K                5.087351e-01
DIAGNOSTIC          8.004501e-02
HAVE_VERIFY         5.588115e-02
HAVE_SEQUENCE       5.588115e-02
CS32MB              4.999189e-02
HAVE_STATISTICS     2.441813e-02
CS16MB              2.393475e-02
CS64MB              1.373929e-02
CS512MB             1.231785e-02
HAVE_REPLICATION    5.711282e-03
root                1.776357e-15
PAGESIZE            8.881784e-16
dtype: float64","count      3.000000
mean      96.845568
std      153.947934
min        1.107762
25%        8.054215
50%       15.000667
75%      144.714470
max      274.428274
Name: % error, dtype: float64"
5,Lasso,False,None,"Index(['root', 'HAVE_CRYPTO', 'HAVE_HASH', 'HAVE_REPLICATION', 'HAVE_VERIFY',
       'HAVE_SEQUENCE', 'HAVE_STATISTICS', 'DIAGNOSTIC', 'PAGESIZE', 'PS1K',
       'PS4K', 'PS8K', 'PS16K', 'PS32K', 'CACHESIZE', 'CS32MB', 'CS16MB',
       'CS64MB', 'CS512MB'],
      dtype='object')",Lasso(alpha=0.01),Performance,0.2,"PS16K            1.032627e+01
HAVE_CRYPTO      9.978849e+00
PS4K             4.996135e+00
PS1K             2.458788e-01
HAVE_VERIFY      2.922221e-02
HAVE_SEQUENCE    2.775558e-17
dtype: float64","count      3.000000
mean     145.733468
std      231.345036
min        0.602519
25%       12.338319
50%       24.074120
75%      218.298942
max      412.523764
Name: % error, dtype: float64"
6,Ridge,False,None,"Index(['root', 'HAVE_CRYPTO', 'HAVE_HASH', 'HAVE_REPLICATION', 'HAVE_VERIFY',
       'HAVE_SEQUENCE', 'HAVE_STATISTICS', 'DIAGNOSTIC', 'PAGESIZE', 'PS1K',
       'PS4K', 'PS8K', 'PS16K', 'PS32K', 'CACHESIZE', 'CS32MB', 'CS16MB',
       'CS64MB', 'CS512MB'],
      dtype='object')",Ridge(alpha=0.01),Performance,0.2,"PS16K               9.740071
PS4K                5.552669
HAVE_CRYPTO         3.628831
HAVE_HASH           3.628831
PS1K                3.628831
PS8K                0.558571
HAVE_VERIFY         0.077706
HAVE_SEQUENCE       0.077706
CS32MB              0.050951
DIAGNOSTIC          0.049145
HAVE_REPLICATION    0.046649
HAVE_STATISTICS     0.026449
CS64MB              0.020799
CS512MB             0.020708
CS16MB              0.009443
dtype: float64","count      3.000000
mean      94.601294
std      158.897744
min        1.239938
25%        2.866446
50%        4.492954
75%      141.281973
max      278.070992
Name: % error, dtype: float64"
7,ElasticNet,False,None,"Index(['root', 'HAVE_CRYPTO', 'HAVE_HASH', 'HAVE_REPLICATION', 'HAVE_VERIFY',
       'HAVE_SEQUENCE', 'HAVE_STATISTICS', 'DIAGNOSTIC', 'PAGESIZE', 'PS1K',
       'PS4K', 'PS8K', 'PS16K', 'PS32K', 'CACHESIZE', 'CS32MB', 'CS16MB',
       'CS64MB', 'CS512MB'],
      dtype='object')","ElasticNet(alpha=0.01, l1_ratio=1.0)",Performance,0.2,"PS16K            1.032627e+01
HAVE_CRYPTO      9.978849e+00
PS4K             4.996135e+00
PS1K             2.458788e-01
HAVE_VERIFY      2.922221e-02
HAVE_SEQUENCE    2.775558e-17
dtype: float64","count      3.000000
mean     145.733468
std      231.345036
min        0.602519
25%       12.338319
50%       24.074120
75%      218.298942
max      412.523764
Name: % error, dtype: float64"
8,LinearRegression,False,None,"Index(['root', 'HAVE_CRYPTO', 'HAVE_HASH', 'HAVE_REPLICATION', 'HAVE_VERIFY',
       'HAVE_SEQUENCE', 'HAVE_STATISTICS', 'DIAGNOSTIC', 'PAGESIZE', 'PS1K',
       'PS4K', 'PS8K', 'PS16K', 'PS32K', 'CACHESIZE', 'CS32MB', 'CS16MB',
       'CS64MB', 'CS512MB'],
      dtype='object')",LinearRegression(),Performance,0.3,"PS16K               9.808392e+00
PS4K                5.626113e+00
HAVE_HASH           3.647907e+00
PS1K                3.647907e+00
HAVE_CRYPTO         3.647907e+00
PS8K                5.343722e-01
CS32MB              5.280009e-02
HAVE_REPLICATION    4.941502e-02
HAVE_SEQUENCE       4.672505e-02
HAVE_VERIFY         4.672505e-02
DIAGNOSTIC          3.634127e-02
CS64MB              2.924327e-02
CS512MB             2.782183e-02
HAVE_STATISTICS     1.733876e-02
CS16MB              4.265009e-03
root                3.019807e-14
PAGESIZE            2.664535e-15
dtype: float64","count      5.000000
mean      57.197037
std      120.808381
min        0.670257
25%        0.749928
50%        1.420975
75%        9.951604
max      273.192424
Name: % error, dtype: float64"
9,Lasso,False,None,"Index(['root', 'HAVE_CRYPTO', 'HAVE_HASH', 'HAVE_REPLICATION', 'HAVE_VERIFY',
       'HAVE_SEQUENCE', 'HAVE_STATISTICS', 'DIAGNOSTIC', 'PAGESIZE', 'PS1K',
       'PS4K', 'PS8K', 'PS16K', 'PS32K', 'CACHESIZE', 'CS32MB', 'CS16MB',
       'CS64MB', 'CS512MB'],
      dtype='object')",Lasso(alpha=0.01),Performance,0.3,"PS16K            1.034466e+01
HAVE_CRYPTO      1.002827e+01
PS4K             4.987501e+00
PS1K             2.116600e-01
HAVE_VERIFY      1.901206e-02
HAVE_HASH        4.317534e-16
HAVE_SEQUENCE    2.220446e-17
dtype: float64","count      5.000000
mean      87.019938
std      182.672807
min        0.489848
25%        0.491455
50%        0.600974
75%       20.073361
max      413.444050
Name: % error, dtype: float64"
