,importance
CGSolver,0.22355728374776782
pre_0,0.19810176382260095
pre_1,0.144493328306662
post_0,0.14447392835656375
post_1,0.1135266272057521
LoopSolver,0.02650495243619382
cells_50,0.024938147285100014
cells_55,0.0220803705405629
SeqGS,0.017462908010326482
cells_51,0.016254550697339144
SeqSOR,0.010944201819015403
cells_54,0.008561683083304922
GradientSolver,0.006165655768767939
pre_2,0.005801117820387372
BiCGSTABSolver,0.005777366247297093
cells_52,0.005705542040182628
post_2,0.004710612910565061
cells_53,0.004664213042795014
post_6,0.004277313838810225
pre_6,0.003596080882468429
pre_3,0.002450403194446266
pre_4,0.0017068711825791276
post_3,0.0015020426101022824
post_4,0.00124884822979897
pre_5,0.0008868346461463263
post_5,0.0006073522744639396
PostSmoothing,0.0
Precon,0.0
Cells,0.0
PreSmoothing,0.0
Solver,0.0
root,0.0
