,importance
pre_1,8.938315807600344e+16
pre_0,8.938315807600234e+16
pre_2,8.93831580760003e+16
pre_3,8.938315807600003e+16
pre_4,8.938315807599998e+16
pre_6,8.938315807599971e+16
pre_5,8.938315807599957e+16
post_6,6.393255376115202e+16
post_5,6.393255376115157e+16
post_4,6.393255376115123e+16
post_3,6.393255376115103e+16
post_2,6.3932553761150456e+16
post_1,6.3932553761147384e+16
post_0,6.39325537611453e+16
CGSolver,4.068940622467117e+16
BiCGSTABSolver,4.068940622466957e+16
GradientSolver,4.068940622466895e+16
LoopSolver,4.068940622466877e+16
cells_55,1.258653990107875e+16
cells_54,1.2586539901078372e+16
cells_53,1.2586539901077832e+16
cells_52,1.2586539901076892e+16
cells_51,1.2586539901076256e+16
cells_50,1.2586539901075814e+16
SeqGS,3982642431119578.0
SeqSOR,3982642431118521.0
#yes,0.0
