,importance
post_0,0.5114930112017102
pre_1,0.25259693798198635
cells_55,0.11679663939027736
post_6,0.03575849667866654
cells_51,0.016163446399954214
pre_6,0.011804850779838038
pre_2,0.011453381700721275
SeqSOR,0.009473084640210124
GradientSolver,0.008995796922956165
pre_4,0.007199044083406653
pre_3,0.006303297128598508
cells_52,0.004260071689898859
SeqGS,0.0034801695227706757
cells_53,0.0019678528693317264
cells_54,0.0009303812801129685
BiCGSTABSolver,0.0008443261854760465
post_4,0.0002147384040263689
post_2,7.800105141310656e-05
post_5,6.584667251668898e-05
pre_0,6.137750765830517e-05
CGSolver,4.3926511675876344e-05
post_3,9.708192250017297e-06
post_1,4.260427951236901e-06
LoopSolver,1.0251559636847355e-06
pre_5,3.276206289971585e-07
PostSmoothing,0.0
Cells,0.0
cells_50,0.0
Solver,0.0
Precon,0.0
PreSmoothing,0.0
root,0.0
