,importance
post_0,0.22918978758033626
CGSolver,0.22840095233800406
pre_1,0.16243289172641676
pre_0,0.1141167166557883
post_1,0.07775164516120263
cells_55,0.034885839076206696
cells_50,0.029269278582740175
cells_51,0.017570520558535488
LoopSolver,0.015787243562205528
SeqSOR,0.014902249831519469
GradientSolver,0.011145564274678268
SeqGS,0.010073053283124172
cells_52,0.009183436206062828
post_6,0.007306598619033814
post_2,0.0052249649162762766
cells_54,0.005000007411130903
cells_53,0.00474194212581045
pre_6,0.00359369423094433
BiCGSTABSolver,0.003563206676287704
pre_2,0.003183106819380104
post_5,0.002790417098621432
pre_5,0.002782290731256475
post_3,0.0023641277939983486
pre_3,0.0020208423199743063
pre_4,0.0013848512333103826
post_4,0.0013347711871549634
#yes,0.0
