,importance
pre_1,0.3053468932576382
post_0,0.17808965117702086
CGSolver,0.17577562354855386
cells_55,0.09187546981970364
cells_50,0.07206031952365537
GradientSolver,0.04210654532078871
post_1,0.04083320692892607
pre_0,0.02688558908853918
cells_51,0.018646256507866756
LoopSolver,0.009789896795114533
SeqSOR,0.0063873829261030775
cells_54,0.0060017686091912
post_6,0.005373537908865573
SeqGS,0.005358204140707368
post_5,0.005351916656701943
BiCGSTABSolver,0.002583960452713611
pre_2,0.0020579219367328387
pre_5,0.001339489593816563
pre_3,0.0012198587806904813
pre_6,0.0011543783507046979
pre_4,0.0009018098243387923
cells_53,0.0003893102599828343
post_4,0.00032382173088301455
cells_52,9.85499752984636e-05
post_2,4.5795425105580916e-05
post_3,2.841460356812627e-06
PostSmoothing,0.0
Precon,0.0
Cells,0.0
PreSmoothing,0.0
Solver,0.0
root,0.0
