,importance
post_0,0.26725513005706214
CGSolver,0.219267975082657
pre_1,0.19487732000942087
pre_0,0.08064937583272548
post_1,0.056076479404329395
cells_50,0.04980541821100692
cells_55,0.02201317247266177
GradientSolver,0.01399497235693958
LoopSolver,0.013677050084338699
cells_52,0.01070913087281175
SeqGS,0.008741748741080487
cells_54,0.008709225304595277
cells_51,0.007527052514621621
SeqSOR,0.007381536743427076
post_6,0.00527770001502292
cells_53,0.005145932307272517
BiCGSTABSolver,0.005016267558717378
pre_2,0.004923001378557446
pre_6,0.0038635422607200625
post_4,0.003769624154138086
post_5,0.0029860525495448154
pre_3,0.0028331342727381053
pre_5,0.00217867942745647
pre_4,0.002026292058265988
post_2,0.0009893481111441231
post_3,0.0003048382187440109
#yes,0.0
