,importance
post_0,0.2198588501525592
CGSolver,0.20743837133014706
pre_1,0.1586231363028765
pre_0,0.0960204543830662
post_1,0.06248502486709085
cells_50,0.04334985918197833
cells_55,0.041588703251070246
LoopSolver,0.022491550869044395
cells_51,0.022046521996868806
SeqGS,0.015337488352232405
SeqSOR,0.015151536368671883
cells_52,0.012179171976521885
GradientSolver,0.01149170993937201
post_6,0.008187362444820165
BiCGSTABSolver,0.00813444977611469
cells_54,0.007835851971640117
cells_53,0.007393091304718885
pre_6,0.00673466114987525
post_2,0.005851289593282909
pre_2,0.0052498313909775905
pre_5,0.004575073986398404
post_5,0.004543928535032648
post_3,0.004175023972001064
pre_3,0.0037833027045891827
pre_4,0.0032107537228305365
post_4,0.002263000476218875
PostSmoothing,0.0
Precon,0.0
Cells,0.0
PreSmoothing,0.0
Solver,0.0
root,0.0
