,importance
CGSolver,0.22488161657277123
post_0,0.21978450730476937
pre_1,0.15521291768685824
pre_0,0.1011198243453573
post_1,0.0725066486903322
cells_50,0.035162693461967404
cells_55,0.027487332594934338
LoopSolver,0.024434807261837832
cells_51,0.019566044610463844
SeqGS,0.012781369646136779
SeqSOR,0.011946460504077019
cells_52,0.011921811971338087
GradientSolver,0.011011792910382848
cells_54,0.009526405762922475
cells_53,0.008468516045661395
BiCGSTABSolver,0.008420674080703924
post_6,0.007536992642912445
pre_2,0.005971436897665682
pre_6,0.005933743360186658
post_2,0.0052083689478961805
post_5,0.004707806498033649
pre_5,0.00414201020931677
post_3,0.0037865919798896926
pre_3,0.0034944000661819097
post_4,0.002501593064689993
pre_4,0.0024836328827127236
#yes,0.0
