,importance
cells_50,9.949604792626293e+16
cells_51,9.949604792626237e+16
cells_52,9.949604792626176e+16
cells_53,9.949604792626091e+16
cells_54,9.949604792626016e+16
cells_55,9.949604792625982e+16
post_6,8.627498274947923e+16
post_5,8.627498274947888e+16
post_4,8.627498274947845e+16
post_3,8.627498274947814e+16
post_2,8.627498274947795e+16
post_1,8.627498274947574e+16
post_0,8.627498274947278e+16
CGSolver,1.6415850731808204e+16
BiCGSTABSolver,1.6415850731807088e+16
LoopSolver,1.641585073180639e+16
GradientSolver,1.6415850731806288e+16
SeqSOR,7795223300423156.0
SeqGS,7795223300422453.0
pre_0,3582251513323073.0
pre_1,3582251513322807.0
pre_2,3582251513320992.0
pre_3,3582251513320772.5
pre_6,3582251513320525.0
pre_5,3582251513320522.5
pre_4,3582251513320520.0
#yes,0.0
