,importance
pre_1,0.5142644791371485
post_0,0.31047446948590596
cells_50,0.04069713185221249
LoopSolver,0.02927884443486642
post_5,0.02745642455984707
SeqSOR,0.02340243568801825
post_1,0.012250609961455466
cells_53,0.01208737736721088
cells_51,0.007598795422924809
CGSolver,0.007103191272128971
cells_54,0.004822156052241795
GradientSolver,0.0031701237367883924
post_3,0.00242415457136958
SeqGS,0.001532734178456735
cells_55,0.0011798637973826323
cells_52,0.0011688072398008975
BiCGSTABSolver,0.0007760965869231439
post_2,0.00031230465531801097
post_6,0.0
post_4,0.0
Cells,0.0
root,0.0
PostSmoothing,0.0
Precon,0.0
pre_5,0.0
pre_4,0.0
pre_3,0.0
pre_2,0.0
pre_0,0.0
PreSmoothing,0.0
Solver,0.0
pre_6,0.0
