,importance
CGSolver,0.22341815486810243
post_0,0.21608850767397927
pre_1,0.1558580909483533
pre_0,0.13089290034911127
post_1,0.09782548148535349
cells_50,0.041440747362321784
cells_55,0.028090370320214574
LoopSolver,0.02070370562965041
cells_51,0.014665639871478616
SeqGS,0.010294704689762383
SeqSOR,0.010114324223058723
cells_52,0.006994568342481674
pre_6,0.00674700748048794
cells_54,0.006303107816261814
GradientSolver,0.006157828878417532
BiCGSTABSolver,0.0055009461398177265
post_6,0.004656691997268402
post_2,0.003166471861041339
cells_53,0.0030509425278676563
pre_2,0.0024924858429901703
post_5,0.002069702559337988
post_3,0.0018137768301081715
pre_3,0.0011025295344256503
pre_4,0.00028517211949549264
post_4,0.0002659170902611037
pre_5,2.2355835101292853e-07
#yes,0.0
