,importance
post_6,1.4656909670444794e+17
post_5,1.4656909670444768e+17
post_3,1.4656909670444733e+17
post_2,1.465690967044472e+17
post_4,1.4656909670444682e+17
post_1,1.4656909670444368e+17
post_0,1.465690967044396e+17
cells_50,1.0060028425710821e+17
cells_51,1.0060028425710746e+17
cells_52,1.0060028425710675e+17
cells_53,1.0060028425710598e+17
cells_54,1.0060028425710515e+17
cells_55,1.0060028425710467e+17
SeqGS,6.385743574018552e+16
SeqSOR,6.385743574018457e+16
pre_6,4.660434241898584e+16
pre_4,4.660434241898571e+16
pre_2,4.660434241898532e+16
pre_3,4.660434241898513e+16
pre_1,4.660434241898327e+16
pre_0,4.660434241898275e+16
pre_5,4.6604342418982744e+16
GradientSolver,1.4574616619707732e+16
LoopSolver,1.4574616619706998e+16
BiCGSTABSolver,1.4574616619706236e+16
CGSolver,1.4574616619704614e+16
#yes,0.0
