,importance
post_0,0.2451073235697409
CGSolver,0.17626871128080565
pre_0,0.15327218714715493
post_1,0.08726757813539608
pre_1,0.08563351285927198
cells_55,0.043515060716189845
GradientSolver,0.01875048573236515
SeqSOR,0.018198887686869468
cells_51,0.017264688017462847
cells_54,0.016954235208139837
SeqGS,0.016765096234591763
cells_50,0.015827681625062207
post_6,0.014759359720664144
LoopSolver,0.011174719359689224
post_2,0.011056403440830252
cells_53,0.009606040395837708
pre_2,0.009035176827170555
post_5,0.00847482680149464
pre_6,0.007915084802591689
cells_52,0.006085496538290435
BiCGSTABSolver,0.005912941167586437
post_3,0.00549563371105859
pre_5,0.005478702322069122
pre_4,0.0035210057162044866
post_4,0.0035171186901711868
pre_3,0.0031420422932910584
#yes,0.0
