,importance
CGSolver,0.2170887115338989
pre_0,0.19834101396073273
post_0,0.14396659027041597
pre_1,0.14141298619647016
post_1,0.11087571479127176
LoopSolver,0.0302669433840255
cells_50,0.02777730630329974
cells_55,0.02373534097237676
cells_51,0.020194529621523894
SeqGS,0.015503272091565611
SeqSOR,0.013181536959558957
BiCGSTABSolver,0.007733909964596613
cells_54,0.006876686498097292
cells_52,0.006851027289938025
GradientSolver,0.005582660085586936
pre_2,0.005199217181627888
post_6,0.004852959218654828
post_2,0.0041815513758468184
cells_53,0.0041149649338014975
pre_6,0.0035711688907292633
pre_3,0.001995748035840533
pre_4,0.0018816039709730547
post_4,0.0015548209905794958
post_3,0.001263540054992967
pre_5,0.0011731696317925978
post_5,0.0008230257918022102
PostSmoothing,0.0
Precon,0.0
Cells,0.0
PreSmoothing,0.0
Solver,0.0
root,0.0
