,importance
CGSolver,0.21759832036111976
pre_0,0.2026000136935146
pre_1,0.1460492825813251
post_0,0.14006552765014357
post_1,0.11213694598226714
LoopSolver,0.026223773987750956
cells_50,0.02595337119401983
cells_55,0.02437337550588698
cells_51,0.018969509905186227
SeqGS,0.015023771777145261
SeqSOR,0.013837825750640197
BiCGSTABSolver,0.007317882522658814
cells_54,0.007278803449191862
cells_52,0.006521972292618318
GradientSolver,0.005483772572123406
pre_2,0.005082388093100461
post_6,0.0048589498977663565
cells_53,0.0045841339221938645
post_2,0.004024335160461589
pre_6,0.003541726124668966
pre_3,0.002090088403391838
pre_4,0.0019357245361133102
post_4,0.0013177750546417176
pre_5,0.0012375620912909722
post_3,0.00122539438100948
post_5,0.0006677731097694704
#yes,0.0
