,importance
post_0,0.5180340448664208
pre_1,0.16637859451104994
cells_55,0.12251085263217036
cells_50,0.076187604852092
post_6,0.027806011085287158
pre_6,0.016347930623529804
SeqSOR,0.01302823679176594
cells_51,0.011135015289371135
pre_4,0.009707810103710949
pre_2,0.00882981291300976
SeqGS,0.00881353573475521
GradientSolver,0.0057884046973773595
pre_3,0.005048062851863587
cells_53,0.0038790184296146535
cells_52,0.0029883690560512915
cells_54,0.0014825187781506363
BiCGSTABSolver,0.0012416982797845244
post_4,0.00025516809536872193
CGSolver,0.00022894513315707663
pre_0,0.00013342848113769733
post_3,0.00011979449758507626
post_2,2.0123062047083614e-05
pre_5,1.8906302138177794e-05
post_1,1.0290956051542236e-05
LoopSolver,4.60570524008584e-06
post_5,1.2162712694764651e-06
Cells,0.0
Solver,0.0
PostSmoothing,0.0
Precon,0.0
PreSmoothing,0.0
root,0.0
