,importance
post_0,0.234552064134369
CGSolver,0.22505582817858147
pre_1,0.15622946422158204
pre_0,0.12210782272693234
post_1,0.07815349203510147
cells_55,0.037237787198544106
cells_50,0.023362465324626033
cells_51,0.015376819579802609
LoopSolver,0.014574674886584761
GradientSolver,0.012155069513608058
SeqSOR,0.011606659248379683
SeqGS,0.011244663657857768
cells_52,0.008136683345935291
post_6,0.007261635865121977
cells_53,0.006318362988687624
cells_54,0.006267317083782228
post_2,0.005097246097261691
BiCGSTABSolver,0.005093212450624101
pre_6,0.003920157214113765
pre_2,0.003648908621520588
post_5,0.002766467116313508
pre_5,0.0024646112429429616
post_3,0.002335525571215282
pre_3,0.0021567527292445463
pre_4,0.001499388691262755
post_4,0.0013769202760042707
#yes,0.0
