,importance
post_0,0.2693365896753148
CGSolver,0.23531534606599236
pre_1,0.19414505066830107
pre_0,0.07528089450317091
post_1,0.0525025800550553
cells_50,0.045336070776656835
cells_55,0.023031671509347533
GradientSolver,0.014418385182370524
LoopSolver,0.01363584355855824
SeqSOR,0.01239140873587704
cells_51,0.011316730161079041
cells_52,0.01047416281388915
SeqGS,0.006477524596258584
pre_2,0.0055260741763403076
post_6,0.004808022485894767
cells_54,0.004760396765119622
post_4,0.0037953555156589967
BiCGSTABSolver,0.003563740182555525
pre_6,0.0030306719747515086
post_5,0.002887027056909692
pre_3,0.0026408079035472928
pre_5,0.0018114180420723792
post_2,0.001269172761102119
cells_53,0.0011508189781471159
pre_4,0.0009667424856859272
post_3,0.0001274933703432158
#yes,0.0
