,importance
post_0,0.27014008470071277
CGSolver,0.22679938171913352
pre_1,0.18868767238132686
pre_0,0.07947850182161777
post_1,0.05467713536998164
cells_50,0.042509209833351144
cells_55,0.02596996334728818
GradientSolver,0.01406896670155226
cells_54,0.01274561209838549
LoopSolver,0.012005446162653864
SeqSOR,0.009649443325286005
SeqGS,0.009499863752543329
cells_52,0.008767915614558076
cells_53,0.006726800696665961
BiCGSTABSolver,0.005550458511626381
cells_51,0.005368464142762152
post_6,0.005229765022348638
pre_2,0.004458819604785625
pre_6,0.003371644612391157
post_4,0.0029025241469767477
post_5,0.002720683323952498
pre_5,0.00244280114067179
pre_3,0.002394041637022187
pre_4,0.0020481820971965893
post_2,0.001221461077427698
post_3,0.0005651571577815554
#yes,0.0
