,importance
post_0,0.2441177662513365
CGSolver,0.17978451468205894
pre_1,0.16024423423885423
pre_0,0.09804164770390388
post_1,0.07512399581611609
cells_55,0.03628179899009972
SeqSOR,0.031300844046347795
cells_51,0.02618604831310558
LoopSolver,0.02124464666571926
GradientSolver,0.01897002152024623
SeqGS,0.017897614334101437
cells_54,0.013982808606451996
cells_50,0.012478539014239643
cells_53,0.00937414643482999
pre_6,0.007826915026379201
post_6,0.0077777960731975635
cells_52,0.007117694405998285
pre_5,0.005665335247898297
post_5,0.004015180761835311
pre_2,0.00383325681072944
pre_4,0.003664861232395702
pre_3,0.0036266814561406223
BiCGSTABSolver,0.0034497765174296394
post_2,0.00327364309474087
post_4,0.002746095708765083
post_3,0.00197413704707868
Precon,0.0
Cells,0.0
PreSmoothing,0.0
PostSmoothing,0.0
Solver,0.0
root,0.0
