,importance
post_0,0.22018159182403732
CGSolver,0.21553298325515052
pre_1,0.15276884788322845
pre_0,0.10578260211091144
post_1,0.07236678899851448
cells_50,0.043899101286777674
cells_55,0.02392609600519167
cells_51,0.02324130514696529
LoopSolver,0.02074657389619565
SeqSOR,0.01370125913033349
SeqGS,0.013615854723716068
cells_52,0.012429583021557304
GradientSolver,0.01121699432059411
cells_54,0.010707582546232506
post_6,0.007498793715680792
BiCGSTABSolver,0.007290631497996632
cells_53,0.006548458437300075
pre_6,0.0058352143869089546
post_2,0.005675909413659459
post_5,0.0050248299909466465
pre_2,0.004877476034385419
pre_5,0.00455913100909486
post_3,0.004000718953801715
pre_3,0.003070131574700435
pre_4,0.002833333307959748
post_4,0.002668207528159363
#yes,0.0
