,importance
post_0,0.24796076418512705
CGSolver,0.21949799276257204
pre_1,0.1719334285382509
pre_0,0.10092009301517099
post_1,0.09227019409907623
cells_55,0.028334742884267145
cells_50,0.0277287200115846
LoopSolver,0.017869405333589054
cells_54,0.015749094911487307
cells_51,0.012732638474718007
GradientSolver,0.011189250204224949
SeqGS,0.010274737455825593
post_6,0.00889547899611979
cells_53,0.00877191452579598
SeqSOR,0.007874414315830875
post_5,0.006181377760428496
post_2,0.00285510655336414
pre_6,0.0022834437801905936
post_3,0.0020757775143020653
pre_5,0.0011383730535327484
post_4,0.0010420023054227184
BiCGSTABSolver,0.0009715099145504292
cells_52,0.0007668722008978572
pre_4,0.00032723222605431356
pre_3,0.0001924105948769352
pre_2,0.00016302438273934876
#yes,0.0
