,importance
post_0,0.24047415268391537
CGSolver,0.1633456296723477
pre_0,0.1610783242199908
post_1,0.09032490885361336
pre_1,0.085144742596665
cells_55,0.04218235176218872
cells_50,0.021421963614235887
SeqGS,0.02120304986290567
SeqSOR,0.020819878574897394
GradientSolver,0.019522632217154178
post_6,0.014139665419879125
cells_54,0.013298087897672495
cells_51,0.013150412802240746
LoopSolver,0.011564109430207307
post_2,0.010311377197681788
cells_53,0.009622925996025001
pre_6,0.009327807102737793
post_5,0.008946250966667308
pre_2,0.008420777762165522
cells_52,0.007972655679585251
pre_5,0.0062796023554227785
post_3,0.005503155249246778
BiCGSTABSolver,0.005471074231133779
post_4,0.004307493668151718
pre_4,0.0033194825407391795
pre_3,0.0028474876425293202
#yes,0.0
