feature,importance
X86_LOCAL_APIC,1.394288542402822e-08
OPENVSWITCH,9.554247200181779e-05
TEXTSEARCH_FSM,2.3493178601885762e-07
NETFILTER_XT_MATCH_TCPMSS,1.4935410535001004e-07
MPLS,4.2249056955403564e-05
NFC_HCI,7.3109672328541104e-06
NETFILTER_XT_MATCH_TIME,2.926447781821825e-08
NET_MPLS_GSO,1.471712422176991e-05
NFC_SHDLC,2.512609149264117e-05
NETFILTER_XT_MATCH_U32,8.698581414773292e-08
OPENVSWITCH_GRE,1.325446226350976e-06
NFC_TRF7970A,1.1686585432713426e-06
OPENVSWITCH_VXLAN,2.550240177116685e-07
NFC_MEI_PHY,1.253166542682766e-05
INTEL_MEI,1.2753124691825839e-05
VXLAN,3.2326176790976765e-07
IP_SET_BITMAP_IP,1.8305605197603427e-06
OPENVSWITCH_GENEVE,2.2415914868251436e-08
NFC_SIM,4.879245567981333e-06
GENERIC_IRQ_EFFECTIVE_AFF_MASK,3.102545188058479e-06
IP_SET_BITMAP_IPMAC,5.53122286240122e-07
GENEVE,1.1289182597636465e-06
SMP,4.1942038404508705e-06
IP_SET_BITMAP_PORT,5.787194381665958e-07
VSOCKETS,6.550308205391511e-06
NFC_PORT100,5.152154519736805e-07
GENERIC_IRQ_MIGRATION,4.176613157469114e-06
IP_SET_HASH_IP,9.466044213581516e-08
VMWARE_VMCI_VSOCKETS,3.3469805251041083e-06
NFC_FDP,6.534138794054246e-06
IP_SET_HASH_IPMARK,2.1205311205082649e-07
NFC_FDP_I2C,5.7338888443367844e-05
VMWARE_VMCI,0.00011357327051368562
IP_SET_HASH_IPPORT,1.7548895797824486e-07
VIRTIO_VSOCKETS,3.2175474354156e-06
NFC_PN544,1.9073718962922605e-05
NEED_DMA_MAP_STATE,1.0047244052824e-08
GENERIC_PENDING_IRQ,3.0226817626731096e-06
IP_SET_HASH_IPPORTIP,4.4274481436273476e-07
VIRTIO_VSOCKETS_COMMON,2.4185888751464884e-06
NFC_PN544_I2C,1.7134759694027537e-06
NETLINK_DIAG,6.195763902394299e-05
NFC_PN544_MEI,1.4484922272331234e-05
INTEL_IOMMU,5.214371114469553e-07
IP_SET_HASH_IPPORTNET,3.041267705363023e-06
MPLS_ROUTING,2.4163203407136894e-05
NFC_PN533,2.5022925901423632e-05
DMA_API_DEBUG,7.96616024794851e-06
SWIOTLB,9.609585982150158e-11
IP_SET_HASH_IPMAC,3.047104335112316e-07
MPLS_IPTUNNEL,4.028341424608264e-06
NFC_PN533_USB,1.7295860616421595e-06
IP_SET_HASH_MAC,8.242534197429678e-08
HSR,1.891728997050446e-05
NFC_PN533_I2C,3.324939620245552e-06
X86_POWERNOW_K7_ACPI,0.0
PATA_SERVERWORKS,7.03625023675359e-08
ATH9K_DYNACK,7.480994397961548e-08
SERIAL_FSL_LPUART_CONSOLE,1.9893803345805542e-06
OMAP_WATCHDOG,5.424290010636565e-07
DVB_PLL,9.74352970180821e-06
CHROMEOS_LAPTOP,9.572987524203139e-06
STACK_TRACER,3.3731315368983714e-05
X86_POWERNOW_K8,6.45295503125484e-06
BINFMT_AOUT,2.0804256844041795e-09
PATA_SIL680,1.0509729216907345e-06
ATH9K_WOW,6.623904300299819e-08
SERIAL_CONEXANT_DIGICOLOR,9.521823355799099e-07
MEDIA_TUNER_MT2060,6.565900678167383e-06
CHROMEOS_PSTORE,1.0143748932003754e-05
BLK_DEV_IO_TRACE,1.4835947850766641e-05
X86_AMD_FREQ_SENSITIVITY,3.340935796132163e-06
PATA_TOSHIBA,1.2973060223328973e-07
ATH9K_RFKILL,1.640035544365793e-08
SERIAL_CONEXANT_DIGICOLOR_CONSOLE,6.785156682200292e-07
DVB_USB_DIBUSB_MB,1.8015648992220434e-08
CROS_EC_CHARDEV,5.1728778224430985e-06
KPROBE_EVENTS,1.0491166761365777e-05
X86_GX_SUSPMOD,0.0
PATA_TRIFLEX,4.183097631007218e-06
ATH9K_CHANNEL_CONTEXT,6.53158432695589e-07
SERIAL_ST_ASC,3.852470778780834e-07
DAVINCI_WATCHDOG,9.59456509460529e-07
DVB_DIB3000MB,1.5288141245283955e-07
RTC_SYSTOHC,6.179984091039623e-06
CROS_EC_LPC,6.572228338431623e-06
PROBE_EVENTS,4.55091199869955e-06
X86_SPEEDSTEP_CENTRINO,3.60177848725734e-06
BINFMT_MISC,8.734811005428558e-06
PATA_VIA,4.747878043364769e-07
ATH9K_PCOEM,1.5274807174168315e-06
SERIAL_ST_ASC_CONSOLE,2.0996980213979444e-07
DVB_USB_DIBUSB_MB_FAULTY,2.402829792922116e-08
CROS_EC_LPC_MEC,3.463124397604076e-05
UPROBE_EVENTS,9.222279221808732e-06
X86_SPEEDSTEP_CENTRINO_TABLE,2.8491197363352038e-08
ATH9K_HTC_DEBUGFS,1.4889953472631542e-10
SERIAL_MEN_Z135,4.166409615740367e-06
RN5T618_WATCHDOG,3.661175898456147e-06
DVB_USB_DIBUSB_MC,2.360340366423041e-07
RTC_DEBUG,4.590209083406291e-06
CROS_KBD_LED_BACKLIGHT,7.5457930650566195e-06
BPF_EVENTS,6.56243690834189e-06
X86_SPEEDSTEP_ICH,4.114637789966068e-09
IA32_AOUT,7.28328595919322e-06
PATA_WINBOND,1.7120325075290148e-06
MFD_RN5T618,1.2155777862413792e-05
DVB_USB_DIB0700,9.536345643781488e-09
RTC_NVMEM,9.345201245669488e-06
HAVE_CLK_PREPARE,2.3738636319910452e-06
MCB,1.5911805498025543e-05
FUNCTION_PROFILER,7.4537102738923295e-06
X86_SPEEDSTEP_SMI,0.0
X86_X32,6.252766842057811e-06
ATH9K_HWRNG,1.1982818692113242e-09
SUNXI_WATCHDOG,3.6081892926842654e-07
DVB_DIB7000P,1.2833585546472196e-06
RTC_INTF_SYSFS,4.339402953718074e-06
COMMON_CLK_WM831X,2.650600154956089e-06
FTRACE_MCOUNT_RECORD,3.0882978056482493e-06
X86_P4_CLOCKMOD,8.875291920234605e-06
COMPAT_FOR_U64_ALIGNMENT,1.7285950760200344e-06
PATA_CMD640_PCI,2.8780763542152836e-06
HW_RANDOM,5.6848225142941545e-06
DVB_DIB7000M,1.4511716690484982e-06
RTC_INTF_PROC,3.7234402141697553e-06
FTRACE_SELFTEST,8.188655622083802e-06
X86_CPUFREQ_NFORCE2,0.0
SYSVIPC_COMPAT,4.045020106158277e-06
CARL9170,2.174699088014162e-08
TWL4030_WATCHDOG,2.855530369145881e-06
DVB_DIB8000,1.2394436340451041e-06
RTC_INTF_DEV,4.256284064509688e-06
COMMON_CLK_VERSATILE,2.292930646187642e-07
FTRACE_STARTUP_TEST,4.460988065253807e-06
X86_LONGRUN,0.0
HAVE_ATOMIC_IOMAP,2.0999038880692355e-09
CARL9170_LEDS,2.199941499030226e-08
SERIAL_STM32,5.204865740144578e-07
STMP3XXX_RTC_WATCHDOG,4.971560619427588e-07
DVB_TUNER_DIB0070,3.0472115866775547e-07
RTC_INTF_DEV_UIE_EMUL,3.6349434779381476e-06
CLK_SP810,2.2917376938050453e-07
EVENT_TRACE_TEST_SYSCALLS,2.1638042095750715e-05
X86_LONGHAUL,0.0
CARL9170_DEBUGFS,4.612541577115243e-05
SERIAL_STM32_CONSOLE,3.7444835201060223e-07
DVB_TUNER_DIB0090,1.6933848142304258e-05
RTC_DRV_TEST,5.1799999771820365e-06
RTC_DRV_STMP,1.5409044633293268e-06
MMIOTRACE,3.602329865792878e-06
NLATTR,1.6445796794924355e-05
PATA_MPIIX,1.0692899688685553e-06
CARL9170_WPC,1.687128990778719e-08
SERIAL_MVEBU_UART,5.275682419135632e-07
NUC900_WATCHDOG,6.030340826985703e-07
MEDIA_TUNER_MT2266,4.053777750298391e-06
RTC_DRV_88PM860X,3.911406482218141e-06
COMMON_CLK_MAX77686,5.957853918458955e-06
GENERIC_NET_UTILS,2.170550510118994e-05
PATA_NS87410,2.673528290867221e-06
CARL9170_HWRNG,5.580701664971392e-09
SERIAL_MVEBU_CONSOLE,4.269240777793122e-07
TS4800_WATCHDOG,2.3475395821671358e-07
MEDIA_TUNER_XC4000,2.8092691028896966e-06
RTC_DRV_88PM80X,4.932802985481913e-06
COMMON_CLK_RK808,4.552524415927402e-06
TRACING_MAP,4.3415412557541694e-06
X86_SPEEDSTEP_LIB,3.6656601717453864e-06
COMPAT_NETLINK_MESSAGES,2.8160465655222455e-05
PATA_OPTI,9.163597297015414e-07
ATH6KL,1.5432240157689833e-07
SERIAL_OWL,3.746748731211089e-07
DVB_USB_UMT_010,3.5564163391443355e-07
RTC_DRV_ABB5ZES3,1.042326445779348e-05
COMMON_CLK_HI655X,3.459526696967884e-07
HIST_TRIGGERS,4.796253808477919e-06
X86_SPEEDSTEP_RELAXED_CAP_CHECK,1.695403809779648e-09
WEXT_CORE,3.55276241560615e-06
ATH6KL_SDIO,1.9944375118938383e-07
TS72XX_WATCHDOG,5.288763014525124e-07
DVB_MT352,8.724387468150573e-06
RTC_DRV_ABX80X,3.49381309508568e-06
COMMON_CLK_SI5351,1.0552416366833203e-05
NET_INGRESS,1.681947600453853e-06
ATH6KL_USB,1.0393361390879083e-07
SERIAL_OWL_CONSOLE,2.3747287128807983e-07
DVB_USB_CXUSB,1.441365599407897e-07
COMMON_CLK_SI514,1.04404775331766e-05
TRACEPOINT_BENCHMARK,5.959366403291421e-06
DRM_VIA,9.5660030731043e-06
SND_HDA_CODEC_ANALOG,4.2942258970086154e-07
DRM_SAVAGE,3.706472087109842e-05
