,importance
LocalMemory,0.5478071322731617
bs_1024x1,0.07490740177301587
bs_512x1,0.06271558719779118
pixelPerThread_1,0.046737971800024605
bs_32x1,0.043906820809808775
pixelPerThread_2,0.02325148135888548
Linear1D,0.021072878072778942
bs_32x32,0.018097084696463046
bs_256x4,0.017519240941369644
bs_512x2,0.01736947120886241
TextureMemory,0.017021561829137048
bs_128x8,0.015623939633457271
bs_64x16,0.015554729016425595
pixelPerThread_4,0.010729930233578476
bs_32x8,0.010363587948340722
bs_256x1,0.0059730851510830015
Ldg,0.004590634138863833
bs_64x1,0.004051246366235868
pixelPerThread_3,0.0038803407432571172
bs_64x2,0.003566657144680692
bs_32x2,0.0034573372031911275
bs_64x4,0.0033326028889989387
bs_128x1,0.0032801797109559606
bs_128x2,0.003061074916017801
bs_32x4,0.0030069773207276377
Linear2D,0.002993181276981445
OpenCL,0.0028772940144352723
bs_64x8,0.002656026512828946
CUDA,0.0022451398830121085
bs_128x4,0.001818087069668218
bs_256x2,0.0018059277090790506
padding_512,0.0013468609493740183
bs_32x16,0.0013199774842372325
padding_448,0.0006168717450005639
padding_96,0.0005028366936025724
padding_416,0.000282680169736775
padding_0,0.0002714463880685268
padding_160,0.0001270056929620746
padding_480,9.930455184752342e-05
padding_32,5.17394025320064e-05
padding_192,3.0032479999661596e-05
padding_64,1.9413717804400342e-05
padding_288,1.5722927309994813e-05
padding_320,1.4890456521953464e-05
padding_352,1.0135594239107682e-05
padding_128,7.861583117199949e-06
padding_224,7.097425835940429e-06
padding_256,1.4366333871274052e-06
padding_384,7.526130555632548e-08
padding,0.0
pixelPerThread,0.0
Array2D,0.0
Blocksize,0.0
API,0.0
root,0.0
