,importance
API,28301334271842.332
bs_1024x1,9849969693801.076
bs_32x1,9849969693797.203
bs_512x1,9849969693788.79
bs_512x2,9849969693787.13
bs_32x32,9849969693786.088
bs_256x4,9849969693783.979
bs_128x8,9849969693783.018
bs_64x16,9849969693782.412
bs_64x1,9849969693778.621
bs_256x1,9849969693778.22
bs_256x2,9849969693777.69
bs_32x16,9849969693777.355
bs_128x4,9849969693777.324
bs_64x8,9849969693777.31
bs_32x2,9849969693773.125
bs_64x4,9849969693773.025
bs_128x1,9849969693772.78
bs_64x2,9849969693771.303
bs_32x8,9849969693768.795
bs_128x2,9849969693768.438
bs_32x4,9849969693762.766
pixelPerThread_2,8402210350899.879
pixelPerThread_3,8402210350897.818
pixelPerThread_4,8402210350897.781
pixelPerThread_1,8402210350891.784
Linear1D,6035378571346.468
Linear2D,6035378571342.939
Ldg,6035378571340.914
TextureMemory,6035378571339.249
Array2D,6035378571332.517
padding_384,3917166641244.3066
padding_32,3917166641243.54
padding_416,3917166641243.3613
padding_160,3917166641243.242
padding_128,3917166641243.049
padding_512,3917166641243.008
padding_192,3917166641242.842
padding_0,3917166641242.586
padding_320,3917166641242.539
padding_288,3917166641241.766
padding_224,3917166641241.4727
padding_96,3917166641241.0923
padding_256,3917166641240.758
padding_448,3917166641240.625
padding_480,3917166641240.444
padding_64,3917166641239.695
padding_352,3917166641236.956
Blocksize,398982317264.82715
OpenCL,378330168126.4404
CUDA,378330168125.8826
padding,219238714617.1734
root,443447745.691587
LocalMemory,22.551186185510822
pixelPerThread,0.005126953125
