,importance
LocalMemory,0.5149252155741583
bs_32x1,0.09725082412033975
bs_1024x1,0.06965933936154255
pixelPerThread_1,0.06314769662252818
bs_512x1,0.058203922022009545
bs_32x8,0.022756161713591506
Linear1D,0.021171012413081308
bs_128x2,0.015931594890559474
OpenCL,0.014996856603917967
bs_64x2,0.011538304665409808
CUDA,0.010352518212056946
bs_32x2,0.009826662662490188
bs_32x32,0.009534186000373698
#yes,0.009234964688691968
bs_512x2,0.008828905674520668
Array2D,0.008702674558485876
bs_32x4,0.008593250062999344
bs_256x4,0.0070651236011592304
TextureMemory,0.006713823906890858
bs_64x4,0.006518679461550781
bs_128x8,0.0062279251797178505
bs_128x1,0.005120066991260281
pixelPerThread_2,0.004987120503204895
padding_352,0.0025268416037576924
bs_64x16,0.0024510142330300216
Linear2D,0.0021496964183173374
pixelPerThread_4,0.0011069842489819706
pixelPerThread_3,0.0004376068842212034
bs_256x1,4.0941235857116715e-05
padding_96,8.588529372251236e-08
bs_64x1,0.0
padding_384,0.0
bs_128x4,0.0
Ldg,0.0
bs_64x8,0.0
bs_256x2,0.0
padding_512,0.0
padding_480,0.0
padding_448,0.0
padding_416,0.0
padding_0,0.0
padding_64,0.0
padding_320,0.0
padding_288,0.0
padding_256,0.0
padding_224,0.0
padding_192,0.0
padding_160,0.0
padding_128,0.0
bs_32x16,0.0
padding_32,0.0
