,importance
LocalMemory,0.4641924643355958
bs_1024x1,0.0969691466887298
bs_32x1,0.06019603970657202
pixelPerThread_1,0.04393868384179097
bs_256x4,0.030034279311237373
bs_128x8,0.029885589039272603
bs_512x1,0.029503038060658914
bs_32x32,0.02935300888714476
bs_64x16,0.029130103623666286
bs_512x2,0.028826668993750963
TextureMemory,0.020496519472049106
pixelPerThread_2,0.016369477370632775
Linear1D,0.014878768704908151
OpenCL,0.014165804496588205
CUDA,0.008267885388886637
pixelPerThread_4,0.007469036118232432
bs_256x1,0.00665653741347304
Array2D,0.005498388820960922
bs_256x2,0.005247761303906658
bs_32x16,0.005130516423707923
bs_64x8,0.004942687342479581
bs_128x4,0.004765625876654034
bs_32x2,0.004610839395892659
bs_64x2,0.004489175702217759
Linear2D,0.004337029119880742
pixelPerThread_3,0.004194246403420322
bs_64x1,0.003967279658427353
bs_32x4,0.0038022892156038624
Ldg,0.003286315347511619
bs_128x2,0.0029721475184556873
bs_64x4,0.002953245396279965
bs_32x8,0.002846116916472559
bs_128x1,0.0017878472558804513
padding_0,0.00129174608375223
padding_352,0.0009474616070175998
padding_96,0.00042381021594392506
padding_416,0.00038186676377733084
padding_480,0.00037590217172170484
padding_64,0.0002689693342636808
padding_32,0.00025724640433339005
padding_192,0.0002166053308159845
padding_448,0.0001106933314072026
padding_128,0.00010947312973228081
padding_320,0.00010592821783200851
padding_256,6.49118394197428e-05
padding_160,6.481275494122117e-05
padding_288,5.7300840634718665e-05
padding_384,5.657540918961796e-05
padding_512,5.521231858921711e-05
padding_224,4.692109568622073e-05
Blocksize,0.0
API,0.0
pixelPerThread,0.0
padding,0.0
root,0.0
