,importance
LocalMemory,0.5351708299657482
bs_32x1,0.30999978768731823
OpenCL,0.054301651568466364
bs_1024x1,0.023539502709367874
Linear1D,0.022271218368658717
CUDA,0.013843134988661522
Array2D,0.013355299572562032
bs_512x1,0.005164563601933333
Ldg,0.004645495666004512
bs_256x2,0.0042005807435319354
bs_512x2,0.003629378222117569
pixelPerThread_4,0.0034780783724494375
pixelPerThread_1,0.001233139717923425
pixelPerThread_2,0.0012123004954059558
bs_64x16,0.001064104364101074
Linear2D,0.0010317276849738043
pixelPerThread_3,0.0007249687402844969
TextureMemory,0.0006109002008547417
bs_32x32,0.0003139469687021502
bs_32x8,7.656492752877341e-05
bs_256x4,6.723728432444281e-05
bs_128x1,5.1867316712531916e-05
padding_0,8.529596641460238e-06
bs_128x8,1.9592914710582586e-06
padding_192,1.7423602052312766e-06
padding_416,1.4895840510574292e-06
padding_480,0.0
padding_448,0.0
padding_384,0.0
padding_352,0.0
padding_320,0.0
padding_160,0.0
padding_288,0.0
pixelPerThread,0.0
padding_256,0.0
padding_224,0.0
padding_512,0.0
root,0.0
padding_128,0.0
bs_32x2,0.0
Blocksize,0.0
bs_32x16,0.0
bs_64x1,0.0
bs_64x4,0.0
bs_128x2,0.0
bs_128x4,0.0
API,0.0
padding_96,0.0
bs_64x2,0.0
bs_64x8,0.0
bs_256x1,0.0
padding,0.0
padding_32,0.0
padding_64,0.0
bs_32x4,0.0
